title,reference,doc_type,doc_type_label,published_date,last_modified,landing_url
PS26/16: Changes to information flows for UK equity IPOs[pdf],PS26/16,PS,Policy statements,2026-08-05,,https://www.fca.org.uk/publication/policy/ps26-16.pdf
PS26/15: Improving the UK transaction reporting regime[pdf],PS26/15,PS,Policy statements,2026-08-03,,https://www.fca.org.uk/publication/policy/ps26-15.pdf
PS26/14: FCA Regulated fees and levies 2026/27: feedback on CP26/11 and ‘made rules'[pdf],PS26/14,PS,Policy statements,2026-07-02,,https://www.fca.org.uk/publication/policy/ps26-14.pdf
Cost Benefit Analysis – Cryptoasset Regime[pdf],,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/cba-aggregate-cryptoasset.pdf
PS26/9: Admissions & Disclosures and Market Abuse Regime for Cryptoassets[pdf],PS26/9,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/ps26-9.pdf
PS26/11: Regulated Cryptoasset Activities[pdf],PS26/11,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/ps26-11.pdf
PS26/10: Stablecoin issuance[pdf],PS26/10,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/ps26-10.pdf
PS26/12: A Prudential Regime for Cryptoasset Firms[pdf],PS26/12,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/ps26-12.pdf
PS26/13: Application of FCA Handbook for Regulated Cryptoasset Activities[pdf],PS26/13,PS,Policy statements,2026-06-30,,https://www.fca.org.uk/publication/policy/ps26-13.pdf
Overview of our cryptoassets regime policy statements,,PS,Policy statements,2026-06-30,2026-06-30,https://www.fca.org.uk/publications/policy-statements/cryptoasset-regime
PS26/8: Retail Banking Business Models Data[pdf],PS26/8,PS,Policy statements,2026-05-29,,https://www.fca.org.uk/publication/policy/ps26-8.pdf
PS26/7: Progressing Fund Tokenisation[pdf],PS26/7,PS,Policy statements,2026-04-30,,https://www.fca.org.uk/publication/policy/ps26-7.pdf
PS26/6: Senior Managers & Certification Regime review[pdf],PS26/6,PS,Policy statements,2026-04-22,,https://www.fca.org.uk/publication/policy/ps26-6.pdf
PS26/5: Changes to the UK Short Selling Regime[pdf],PS26/5,PS,Policy statements,2026-04-16,,https://www.fca.org.uk/publication/policy/ps26-5.pdf
PS26/4: Financial Services Compensation Scheme – Management Expenses Levy Limit 2026/27,PS26/4,PS,Policy statements,2026-03-31,2026-03-31,https://www.fca.org.uk/publications/policy-statements/ps26-4-fscs-management-expenses-levy-limit-2026-27
PS26/3: Motor finance consumer redress scheme[pdf],PS26/3,PS,Policy statements,2026-03-30,2026-04-07,https://www.fca.org.uk/publication/policy/ps26-3.pdf
Technical Annex 2: Market Impacts[pdf],,PS,Policy statements,2026-03-30,,https://www.fca.org.uk/publication/policy/ps26-3-technical-annex-2.pdf
"PS26/3: Technical annex 1 - Updated data, analysis of loss, and liability and cost methodologies[pdf]",,PS,Policy statements,2026-03-30,2026-03-31,https://www.fca.org.uk/publication/policy/ps26-3-technical-annex-1.pdf
PS26/2: Operational Incident and Third Party Reporting[pdf],PS26/2,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2.pdf
PS26/2: Annex 2: Enhanced reporting template[xlsx],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-enhanced-reporting-template-annex-2.xlsx
PS26/2: Annex 2: Standard reporting template[xlsx],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-standard-reporting-template-annex-2.xlsx
PS26/2: Annex 2: Amendments to Approach document[pdf],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-amendments-approach-document-annex-2.pdf
PS26/2: Annex 3: Material third party register template[xlsx],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-third-party-register-template-annex-3.xlsx
PS26/2: Annex 3: Material third party notifications template[xlsx],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-third-party-notifications-template-annex-3.xlsx
PS26/2: Annex 2: Changes to the incident reporting templates[pdf],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-changes-incident-reporting-templates-annex-2.pdf
PS26/2: Annex 3: Changes to the material third party reporting templates[pdf],,PS,Policy statements,2026-03-18,,https://www.fca.org.uk/publication/policy/ps26-2-changes-third-party-reporting-templates-annex-3.pdf
PS26/1: Regulation of Deferred Payment Credit (unregulated Buy Now Pay Later)[pdf],PS26/1,PS,Policy statements,2026-02-11,,https://www.fca.org.uk/publication/policy/ps26-1.pdf
PS25/24: Ancillary Activities Test[pdf],PS25/24,PS,Policy statements,2025-12-19,,https://www.fca.org.uk/publication/policy/ps25-24.pdf
PS25/23: Tackling non-financial misconduct in financial services[pdf],PS25/23,PS,Policy statements,2025-12-12,,https://www.fca.org.uk/publication/policy/ps25-23.pdf
PS25/22: Supporting consumers’ pensions and investment decisions: rules for targeted support[pdf],PS25/22,PS,Policy statements,2025-12-11,,https://www.fca.org.uk/publication/policy/ps25-22.pdf
PS25/21: Simplifying the insurance rules[pdf],PS25/21,PS,Policy statements,2025-12-09,,https://www.fca.org.uk/publication/policy/ps25-21.pdf
PS25/20: Supporting informed decision making: Final rules for Consumer Composite Investments[pdf],PS25/20,PS,Policy statements,2025-12-08,,https://www.fca.org.uk/publication/policy/ps25-20.pdf
PS25/19: Improving the Complaints Reporting process[pdf],PS25/19,PS,Policy statements,2025-12-03,,https://www.fca.org.uk/publication/policy/ps25-19.pdf
PS25/18: Changes to handling rules for motor finance complaints[pdf],PS25/18,PS,Policy statements,2025-12-03,,https://www.fca.org.uk/publication/policy/ps25-18.pdf
PS25/17: SI regime for bonds and derivatives and other consultation proposals[pdf],PS25/17,PS,Policy statements,2025-11-28,,https://www.fca.org.uk/publication/policy/ps25-17.pdf
PS25/16: Margin requirements for non-centrally cleared derivatives: Amendments to BTS 2016/2251,PS25/16,PS,Policy statements,2025-11-27,2025-11-27,https://www.fca.org.uk/publications/policy-statements/ps25-16-margin-requirements-non-centrally-cleared-derivatives-amendments-bts-2016-2251
PS25/14: Definition of capital for FCA investment firms[pdf],PS25/14,PS,Policy statements,2025-10-15,,https://www.fca.org.uk/publication/policy/ps25-14.pdf
PS25/15: Remuneration reform,PS25/15,PS,Policy statements,2025-10-15,2025-12-03,https://www.fca.org.uk/publications/policy-statements/ps25-15-remuneration-reform
PS25/13: The MiFID Organisational Regulation[pdf],PS25/13,PS,Policy statements,2025-10-09,,https://www.fca.org.uk/publication/policy/ps25-13.pdf
PS25/12: Changes to the safeguarding regime for payments and e-money firms[pdf],PS25/12,PS,Policy statements,2025-08-07,,https://www.fca.org.uk/publication/policy/ps25-12.pdf
PS25/11: Mortgage Rule Review: First steps to simplify our rules and increase flexibility[pdf],PS25/11,PS,Policy statements,2025-07-22,,https://www.fca.org.uk/publication/policy/ps25-11.pdf
PS25/9: New rules for the public offers and admissions to trading regime[pdf],PS25/9,PS,Policy statements,2025-07-15,,https://www.fca.org.uk/publication/policy/ps25-9.pdf
PS25/10: Final rules for public offer platforms[pdf],PS25/10,PS,Policy statements,2025-07-15,,https://www.fca.org.uk/publication/policy/ps25-10.pdf
PS25/8: FCA regulated fees and levies 2025/26[pdf],PS25/8,PS,Policy statements,2025-07-01,,https://www.fca.org.uk/publication/policy/ps25-8.pdf
PS25/7: Data Decommissioning: Removing reporting and notification requirements[pdf],PS25/7,PS,Policy statements,2025-06-27,,https://www.fca.org.uk/publication/policy/ps25-7.pdf
PS25/6: Private Intermittent Securities and Capital Exchange System: sandbox arrangements[pdf],PS25/6,PS,Policy statements,2025-06-10,,https://www.fca.org.uk/publication/policy/ps25-6.pdf
PS25/5: Our Enforcement Guide and greater transparency of our enforcement investigations[pdf],PS25/5,PS,Policy statements,2025-06-03,,https://www.fca.org.uk/publication/policy/ps25-5.pdf
PS25/4: Investment research payment optionality for fund managers[pdf],PS25/4,PS,Policy statements,2025-05-09,,https://www.fca.org.uk/publication/policy/ps25-4.pdf
"PS25/3: Consumer credit regulatory returns: credit broking, debt adjusting, debt counselling and providing credit information services[pdf]",PS25/3,PS,Policy statements,2025-05-07,,https://www.fca.org.uk/publication/policy/ps25-3.pdf
PS25/2: Derivatives trading obligation and post-trade risk reduction services[pdf],PS25/2,PS,Policy statements,2025-04-03,,https://www.fca.org.uk/publication/policy/ps25-2.pdf
PS25/1: Reforming the commodity derivatives regulatory framework[pdf],PS25/1,PS,Policy statements,2025-02-05,,https://www.fca.org.uk/publication/policy/ps25-1.pdf
PS24/19: Enhancing the National Storage Mechanism[pdf],PS24/19,PS,Policy statements,2024-12-20,,https://www.fca.org.uk/publication/policy/ps24-19.pdf
PS24/18: Further temporary changes to handling rules for motor finance complaints[pdf],PS24/18,PS,Policy statements,2024-12-19,,https://www.fca.org.uk/publication/policy/ps24-18.pdf
PS24/17: Financial Crime Guide changes[pdf],PS24/17,PS,Policy statements,2024-11-29,,https://www.fca.org.uk/publication/policy/ps24-17.pdf
PS24/16: Operational resilience: Critical third parties to the UK financial sector,PS24/16,PS,Policy statements,2024-11-12,2024-11-12,https://www.fca.org.uk/publications/policy-statements/ps24-16-operational-resilience-critical-third-parties-uk-financial-sector
PS24/15: Regulatory framework for pensions dashboard service firms November[pdf],PS24/15,PS,Policy statements,2024-11-07,,https://www.fca.org.uk/publication/policy/ps24-15.pdf
PS24/14: Improving transparency for bond and derivatives markets[pdf],PS24/14,PS,Policy statements,2024-11-05,,https://www.fca.org.uk/publication/policy/ps24-14.pdf
PS24/13: Joint PRA and FCA Consequential Amendments to BTS 2016/2251,PS24/13,PS,Policy statements,2024-10-31,2024-10-31,https://www.fca.org.uk/publications/policy-statements/ps24-13-joint-pra-fca-consequential-amendments-bts-2016-2251
PS24/12: Digital Securities Sandbox joint Policy Statement and Final Guidance,PS24/12,PS,Policy statements,2024-09-30,2025-12-03,https://www.fca.org.uk/publications/policy-statements/ps24-12-digital-securities-sandbox-joint-policy-statement-final-guidance
PS24/11: Extending the temporary changes to handling rules for motor finance complaints[pdf],PS24/11,PS,Policy statements,2024-09-24,,https://www.fca.org.uk/publication/policy/ps24-11.pdf
PS24/10: Expansion of the Dormant Assets Scheme – second phase[pdf],PS24/10,PS,Policy statements,2024-08-02,,https://www.fca.org.uk/publication/policy/ps24-10.pdf
PS24/9: Payment Optionality for Investment Research[pdf],PS24/9,PS,Policy statements,2024-07-26,,https://www.fca.org.uk/publication/policy/ps24-9.pdf
PS24/8: Access to Cash[pdf],PS24/8,PS,Policy statements,2024-07-24,,https://www.fca.org.uk/publication/policy/ps24-8.pdf
PS24/7: Implementing the Overseas Funds Regime[pdf],PS24/7,PS,Policy statements,2024-07-17,,https://www.fca.org.uk/publication/policy/ps24-7.pdf
PS24/6: Primary Markets Effectiveness Review: Feedback to CP23/31 and final UK Listing Rules[pdf],PS24/6,PS,Policy statements,2024-07-11,,https://www.fca.org.uk/publication/policy/ps24-6.pdf
PS24/5: FCA regulated fees and levies 2024/25: feedback on CP24/6 and ‘made rules’[pdf],PS24/5,PS,Policy statements,2024-07-03,,https://www.fca.org.uk/publication/policy/ps24-5.pdf
PS24/4: Rules relating to securitisation[pdf],PS24/4,PS,Policy statements,2024-04-30,,https://www.fca.org.uk/publication/policy/ps24-4.pdf
PS24/3: Consumer Credit – Product Sales Data Reporting[pdf],PS24/3,PS,Policy statements,2024-04-29,,https://www.fca.org.uk/publication/policy/ps24-3.pdf
PS24/2: Strengthening protections for borrowers in financial difficulty: Consumer credit and mortgages[pdf],PS24/2,PS,Policy statements,2024-04-10,,https://www.fca.org.uk/publication/policy/ps24-2.pdf
FCA Statement of Policy on Panel Appointments[pdf],,PS,Policy statements,2024-03-22,,https://www.fca.org.uk/publication/policy/statement-of-policy-panel-appointments.pdf
PS24/1: Temporary changes to handling rules for motor finance complaints[pdf],PS24/1,PS,Policy statements,2024-01-11,,https://www.fca.org.uk/publication/policy/ps24-1.pdf
PS23/19: Margin requirements for non-centrally cleared derivatives: Amendments to BTS 2016/2251,PS23/19,PS,Policy statements,2023-12-18,2023-12-18,https://www.fca.org.uk/publications/policy-statements/ps23-19-margin-requirements-non-centrally-cleared-derivatives
PS23/18: Smarter Regulatory Framework: The Insurance Distribution Directive Feedback to CP23/19 and Final Rules[pdf],PS23/18,PS,Policy statements,2023-12-15,,https://www.fca.org.uk/publication/policy/ps23-18.pdf
PS23/17: Remuneration: enhancing proportionality for small firms,PS23/17,PS,Policy statements,2023-12-05,2023-12-05,https://www.fca.org.uk/publications/policy-statements/ps23-17-remuneration-enhancing-proportionality-small-firms
PS23/16: Sustainability Disclosure Requirements (SDR) and investment labels[pdf],PS23/16,PS,Policy statements,2023-11-28,,https://www.fca.org.uk/publication/policy/ps23-16.pdf
PS23/15: Remuneration: Ratio between fixed and variable components of total remuneration,PS23/15,PS,Policy statements,2023-10-24,2025-02-06,https://www.fca.org.uk/publications/policy-statements/ps23-15-remuneration-ratio-between-fixed-and-variable-components-total-remuneration
PS23/14: Multi-occupancy building insurance: Feedback to CP23/8 and final rules[pdf],PS23/14,PS,Policy statements,2023-09-29,,https://www.fca.org.uk/publication/policy/ps23-14.pdf
PS23/13: Introducing a gateway for firms who approve financial promotions September[pdf],PS23/13,PS,Policy statements,2023-09-12,,https://www.fca.org.uk/publication/policy/ps23-13.pdf
"PS23/12: Complaints against the Regulators (The FCA, PRA and the Bank of England)[pdf]",PS23/12,PS,Policy statements,2023-07-27,,https://www.fca.org.uk/publication/policy/ps23-12.pdf
PS23/11: Guidance on the trading venue perimeter[pdf],PS23/11,PS,Policy statements,2023-07-05,,https://www.fca.org.uk/publication/policy/ps23-11.pdf
PS23/10: FCA regulated fees and levies 2023/24: with feedback on CP23/7 and ‘made rules[pdf],PS23/10,PS,Policy statements,2023-07-04,,https://www.fca.org.uk/publication/policy/ps23-10.pdf
PS23/9: Finalised insurance guidance on supporting customers in financial difficulty[pdf],PS23/9,PS,Policy statements,2023-07-03,,https://www.fca.org.uk/publication/policy/ps23-9.pdf
PS23/8: Mortgage Charter: enabling provisions[pdf],PS23/8,PS,Policy statements,2023-06-30,,https://www.fca.org.uk/publication/policy/ps23-8.pdf
